,Company,Model,Year,Owners,Price,City,Kilometer,Updated dates
0,Bajaj,Pulsar 220,2018,1,"95,000 ",Sikar,"16,000",10 March 2023
1,Bajaj,Pulsar 150,2019,1,"65,000 ",Kolkata,"3,000",10 March 2023
2,Honda,Grazia Standard,2017,1,"48,000 ",Panchkula,"2,500",10 March 2023
3,Suzuki,Access 125,2018,1,"70,000 ",Bangalore,"8,000",10 March 2023
4,Yamaha,FZ S,2021,1,"1,10,000 ",Ajmer,"12,000",10 March 2023
5,Honda,Livo Drum,2016,1,"35,000 ",Pune,"5,000",10 March 2023
6,Jawa,42 Dual,2020,1,"1,90,000 ",Bangalore,"3,600",10 March 2023
7,Bajaj,Avenger Street,2018,1,"75,000 ",Karad,"29,000",10 March 2023
8,Hero,Honda CD,2011,1,"25,000 ",Delhi,"45,000",10 March 2023
9,TVS,Jupiter Standard,2018,2,"65,000 ",Pune,"37,900",10 March 2023
10,KTM,200 Duke,2020,1,"1,60,000 ",Visakhapatnam,"19,500",10 March 2023
11,Bajaj,Pulsar NS200,2018,2,"1,00,000 ",Belgaum,"6,500",10 March 2023
12,Bajaj,Pulsar 180,2018,1,"82,000 ",Meerut,"10,165",10 March 2023
13,TVS,,2006,2,"17,000 ",Dhanbad,"70,000",10 March 2023
14,TVS,Apache RTR,2022,1,"1,10,000 ",Lucknow,"16,000",10 March 2023
15,Hero,Ignitor Disc,2013,1,"30,000 ",Ahmedabad,"49,090",10 March 2023
16,Yamaha,FZ25 Standard,2018,1,"1,10,000 ",Bangalore,"20,000",10 March 2023
17,Honda,CB Shine,2016,2,"70,000 ",Hyderabad,"50,000",10 March 2023
18,Bajaj,Avenger Street,2020,1,"1,00,000 ",Bangalore,"9,500",10 March 2023
19,Bajaj,Pulsar 150,2018,1,"45,000 ",Delhi,"49,760",10 March 2023
20,Yamaha,FZ16 Standard,2015,1,"50,000 ",Hyderabad,"60,000",10 March 2023
21,Yamaha,YZF R15,2012,5,"50,000 ",Mysore,"45,000",10 March 2023
22,KTM,200 Duke,2015,1,"90,000 ",Mumbai,"45,000",10 March 2023
23,Yamaha,YZF R15,2021,1,"1,50,000 ",Jind,"1,700",10 March 2023
24,Bajaj,Pulsar 150,2011,1,"40,000 ",Noida,"20,000",10 March 2023
25,Honda,a Activa,2015,1,"30,000 ",Gwalior,"41,000",10 March 2023
26,Honda,a Activa,2013,1,"40,000 ",Guwahati,"28,000",10 March 2023
27,Hero,Passion Pro,2014,1,"45,000 ",Delhi,"20,000",10 March 2023
28,TVS,Scooty Streak,2013,1,"30,000 ",Mumbai,"30,000",10 March 2023
29,Bajaj,Pulsar 150,2010,1,"22,000 ",Dehradun,"50,000",10 March 2023
30,Suzuki,Access 125,2021,1,"77,000 ",Mumbai,"10,300",10 March 2023
31,Bajaj,Pulsar 220,2016,1,"40,000 ",Jaipur,"70,000",10 March 2023
32,Hero,Honda Splendor,2012,1,"15,000 ",Gurgaon,"20,000",10 March 2023
33,Hero,Super Splendor,2020,1,"65,000 ",Balrampur,"35,000",10 March 2023
34,Royal,Enfield Himalayan,2019,1,"1,85,000 ",Delhi,"26,500",10 March 2023
35,Royal,Enfield Thunderbird,2018,1,"1,60,000 ",Bangalore,"35,000",10 March 2023
36,Bajaj,Avenger Street,2022,1,"1,50,000 ",Ongole,"3,800",10 March 2023
37,Royal,Enfield Interceptor,2019,1,"2,20,000 ",Mumbai,"32,000",10 March 2023
38,Suzuki,Gixxer SF,2019,1,"95,000 ",Bangalore,"11,800",10 March 2023
39,Hero,Honda Splendor,2009,1,"16,000 ",Agra,"50,000",10 March 2023
40,TVS,Wego Disc,2013,1,"22,000 ",Kochi,"25,000",09 March 2023
41,TVS,Ntorq 125,2020,1,"70,000 ",Delhi,"10,000",09 March 2023
42,Ampere,Magnus Pro,2021,1,"68,000 ",Nagpur,"8,000",09 March 2023
43,KTM,390 Duke,2014,1,"1,00,000 ",Pune,"18,000",09 March 2023
44,Royal,Enfield Electra,2017,1,"1,25,000 ",Hyderabad,"47,550",09 March 2023
45,Kawasaki,Z800 Standard,2017,2,"6,00,000 ",Thane,"20,000",09 March 2023
46,Bajaj,j Avenger,2014,1,"38,500 ",Delhi,"30,000",09 March 2023
47,Hero,Honda Karizma,2011,2,"18,000 ",Vellore,"20,000",09 March 2023
